en_text,jp_text,google_translated,score,semantic_score
I'm sorry.,"いやぁ すずも そういう勘が
働くほど 大きくなったか","No, I'm sorry
Was it bigger enough?",0.2727272727272727,0.2671251
"So I told her, but...",…な～んて言っちまったけど,... but I was stuck,0.3333333333333333,0.46204168
Please come!,"（呼び込み）お願いしま～す
（悟史）うん？","Please
 Yeah?",0.2,0.45077688
"""Christmas Dance Party""?",“クリスマスダンスパーティー”,"""Christmas dancing party""",0.5714285714285714,0.9305612
Hope to see you.,"君に
折り入って 相談があるんだけどさ","to you
There is a consultation with the collaboration",0.16666666666666666,0.18643942
"Hey, you!","ねえ 君
（呼び込み）はぁ？","Hey you
?",0.4,0.72474957
Yes?,"（光希）お願い
（遊）もしもし？","request
 too?",0.25,0.34153554
What? A question?\NTutoring on Christmas Eve?,"えっ 質問？
質問ってクリスマスイブに？","Easy question?
Questions on Christmas Eve?",0.5,0.8295672
"I'm a good student, aren't I?","ねえ！ 遊 まだ？
（遊）悪い 光希","Hey you!Are you playing?
 Bad Miki",0.13333333333333333,0.24526796
It's cold.,"（千弥子）
そうしましょう 光希ちゃん",Let's do it.,0.5,0.19539091
I'll give them to Yuu later.,"すぐ追いつくからさ
（光希）えっ？ でも…","I'll catch up soon
 Eh?but…",0.14285714285714285,0.19937442
Where is Yuu?,えっ？ うん…,eh?Yes…,0.16666666666666666,0.15427613
"Let's go, Yuu!",そうよ　さあ 行きましょう,Let's go there,0.42857142857142855,0.5352596
- What?\N- I can't understand it...,"杏樹が… 杏樹が…
（遊）えっ？","樹 ... ...
 Eh?",0.16666666666666666,0.15481724
You'll get it. It's simple.,遊 遅いな　何やってんだろう,It's a late,0.2222222222222222,0.14267983
"See, this problem...","いいかい？ 今の問題は…
（キャッチ音）",Mind you?This problem is ...,0.3333333333333333,0.5727155
"Sorry, Suzu, I got another call.","ごめん すずちゃん
キャッチホンが入った","Sorry I'm sorry
Catch phone included",0.16666666666666666,0.35001934
- Hello?\N- Yuu-kun?,"（プッシュ音）
はい もしもし？",Yes Hello?,0.3333333333333333,0.501863
My name is Kitahara.,"私 北原(きたはら)と申します
（遊）あっ アンの…","My name is Kitahara 
 Ann Ann ...",0.5714285714285714,0.8595072
I wrote this song\Nfor the lady sitting over there.,"これから弾く曲は
そこに座ってる―","The song that plays from now on is
I'm sitting there-",0.15789473684210525,0.5523304
It really is Christmas.,"俺から彼女への
クリスマスプレゼントです","From me to her
It is a Christmas present",0.2727272727272727,0.40025678
I'm jealous.,"（晶子）杏樹！
（弦）しっかりするんだ！","Atsuki!
 I'm firm!",0.2857142857142857,0.18286863
just waiting for your love,恋人たちは愛の再確認,Lovers reconfirm love love,0.14285714285714285,0.50074077
I want to be buried in this feeling of love,"羨ましいな
私も遊と確認したいのに","I envy you
I also want to play with",0.2,0.26609528
